('האבאתי', 'אבא')
('האבאתם', 'אבא')
('האבאתן', 'אבא')
('האבאנו', 'אבא')
('האבאן', 'אבא')
('האבאונה', 'אבא')
('האבאה', 'אבא')
('האבאים', 'אבא')
('האבאות', 'אבא')
('האבאנה', 'אבא')
('האבאת', 'אבא')
('האבאי', 'אבא')
('האבא', 'אבא')
('האבחתי', 'אבח')
('האבחתם', 'אבח')
('האבחתן', 'אבח')
('האבחנו', 'אבח')
('האבחן', 'אבח')
('האבחונה', 'אבח')
('האבחה', 'אבח')
('האבחים', 'אבח')
('האבחות', 'אבח')
('האבחנה', 'אבח')
('האבחת', 'אבח')
('האבחי', 'אבח')
('האבח', 'אבח')
('האבדתי', 'אבד')
('האבדתם', 'אבד')
('האבדתן', 'אבד')
('האבדנו', 'אבד')
('האבדן', 'אבד')
('האבדונה', 'אבד')
('האבדה', 'אבד')
('האבדים', 'אבד')
('האבדות', 'אבד')
('האבדנה', 'אבד')
('האבדת', 'אבד')
('האבדי', 'אבד')
('האבד', 'אבד')
('האיאתי', 'איא')
('האיאתם', 'איא')
('האיאתן', 'איא')
('האיאנו', 'איא')
('האיאן', 'איא')
('האיאונה', 'איא')
('האיאה', 'איא')
('האיאים', 'איא')
('האיאות', 'איא')
('האיאנה', 'איא')
('האיאת', 'איא')
('האיאי', 'איא')
('האיא', 'איא')
('האיחתי', 'איח')
('האיחתם', 'איח')
('האיחתן', 'איח')
('האיחנו', 'איח')
('האיחן', 'איח')
('האיחונה', 'איח')
('האיחה', 'איח')
('האיחים', 'איח')
('האיחות', 'איח')
('האיחנה', 'איח')
('האיחת', 'איח')
('האיחי', 'איח')
('האיח', 'איח')
('האידתי', 'איד')
('האידתם', 'איד')
('האידתן', 'איד')
('האידנו', 'איד')
('האידן', 'איד')
('האידונה', 'איד')
('האידה', 'איד')
('האידים', 'איד')
('האידות', 'איד')
('האידנה', 'איד')
('האידת', 'איד')
('האידי', 'איד')
('האיד', 'איד')
('האנאתי', 'אנא')
('האנאתם', 'אנא')
('האנאתן', 'אנא')
('האנאנו', 'אנא')
('האנאן', 'אנא')
('האנאונה', 'אנא')
('האנאה', 'אנא')
('האנאים', 'אנא')
('האנאות', 'אנא')
('האנאנה', 'אנא')
('האנאת', 'אנא')
('האנאי', 'אנא')
('האנא', 'אנא')
